,molSIDs,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomLAC,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,VABC,TopoPSA,topoShape,geomShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MDEN.33,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,nHBDon,nHBAcc,PPSA.1,PPSA.2,PPSA.3,PNSA.1,PNSA.2,PNSA.3,DPSA.1,DPSA.2,DPSA.3,FPSA.1,FPSA.2,FPSA.3,FNSA.1,FNSA.2,FNSA.3,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,bpol,apol
1,124897530,1.135,369.1688564,0,10,2.89,3,8,10,28,1,50,12,12,0.8444,0.71301136,99.0052,0,2,2,2,2,0,0,0,2,0,0,0,0.329171862,130,2090,37,53.59169446,1.984877573,18.46288081,10.00260787,8.460272936,5.807354922,352.3862929,121.52,0.875,NA,0.466666667,0,1.41746717,1.698756045,0,11.0900905,19.43181945,0,6.825657393,0,0,0.764724491,0,0,0,0.471404521,0,0.333333333,0,0,0,0,0,0,0,0,1,0,2,0,0,9,2,0,0,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.28061224,11.86997809,8.09951325,0.25,1899.07,0.703703704,641,19.81119031,12.8630811,11.54035357,8.718721721,6.308252608,5.152642887,2.845096149,1.796264662,15.01437526,8.54099214,6.205601825,3.961433572,2.565310984,1.67752338,0.837832976,0.46619035,3.665188745,4.680800417,6.480844549,1.144722548,1.326453892,1.427252184,1.898235514,0,0.350158939,0,0.715546468,0,0.06453145,0,0,0,0,0.185395406,0.201184464,0,0,0,0.059852793,0.048101962,0,0,2,11,2,2,3,0,0,1590.906637,1782.883138,2289.998561,2281.548018,2063.729361,31.17781705,30.15927757,41.26274859,42.14834735,38.70583481,0.587338901,-0.212712047,-0.098779129,0.094416824,-0.105979456,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.677761,57.044239
2,124897303,4.498,249.0953777,0,2,3.11,2,18,2,21,0,31,17,16,4.2287,17.88190369,75.5003,0,3,3,2,2,0,0,0,3,0,0,0,0.051747247,98,758,27,39.30632261,2.068753822,5.633534852,0,3.11343661,5.392317423,226.155012,12.89,0.833333333,NA,0.454545455,0,0,0,0,17.03396719,19.05629255,0,3.102671684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95918367,6.635204082,3.555555556,0,747.02,0.947368421,360,13.0791395,9.32649984,8.102622558,6.804334314,5.497647972,4.690537141,2.834493057,1.900551131,10.2533813,6.102197469,4.302212727,3.008116366,2.024882231,1.381472404,0.669113205,0.381407891,2.221943088,3.349803111,4.591560208,0.768429985,0.979928519,1.065174942,0.962215377,0,0.136082763,0,0.379270963,0,0.042690161,0,0,0,0,0.234708048,0.393634553,0,0,0,0.074189455,0.088737778,0,0,1,13,3,0,0,0,0,1212.398844,1398.530618,1865.594971,1782.432235,1318.560764,20.86202444,21.91414898,29.66211602,28.66211602,21.08033091,0.140527587,-0.058827786,-0.0152988,0.003398391,0.002364074,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.641484,39.578516
3,124753561,4.554,657.2308854,0,11,4.21,0,9,4,52,0,83,23,23,4.7561,22.62048721,175.0073,0,6,4,4,4,0,0,3,3,0,0,0,0.174017994,262,7583,87,96.07708801,2.044193362,31.1195821,15.15599246,10.17852066,6.700439718,586.870955,114.37,0.888888889,NA,0.470588235,0.718611258,8.507979782,7.692407096,0.63078664,26.04936491,46.5317133,4.413283453,17.45529802,4.579396586,0,1.154124001,0.746061563,0,0,0,0,0,0,0.6359039,0,0,0,0,0,0,4,0,4,0,0,14,2,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7795858,14.92549271,7.227984741,0.305555556,5582.11,0.680851064,1331,33.67263315,22.34442813,21.68628905,18.34535415,15.16627549,13.0729191,10.16089244,8.186277811,26.8471165,15.74847873,13.0791822,9.708033563,7.484080201,5.645717529,3.997853275,2.899007482,10.40135885,16.69826789,25.2399787,4.509522924,6.880518218,9.167360597,4.671163052,0.356716516,1.603218776,0.242908328,2.215439695,0.096642718,0.530350763,0.053920569,0,0,0.225176222,0.88039361,1.561110129,0,0,0.143905054,0.453140442,0.729829029,0,0,3,18,4,2,2,3,0,4026.475431,4973.116161,7711.276519,8355.03353,8597.41171,60.35655229,64.19025171,90.64373898,100.4987967,103.5485967,0.98687006,-0.554960484,0.077083478,0.204424756,-0.347424396,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.764452,98.933548
4,124753354,8.321,501.1464607,1,9,2.89,4,16,5,34,0,60,16,15,4.1324,17.07672976,119.9935,1,3,3,2,2,0,0,1,2,0,0,0,0.183439388,162,1.82E+11,45,65.17158837,1.974896617,26.99899043,4.654700538,9.852056315,6.087462841,426.5530205,91.93,999.000999,NA,0.999000001,0.367048714,5.112887875,0.357948178,3.00E-09,11.59776998,2.05934699,1.10E-08,0.060550066,1.07E-07,0,0.5,0,0,0,0,0,0.333333333,1,0,0,0,0,0,0,0,3,0,4,0,0,7,1,0,0,1,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.23183391,13.92123133,9.183673469,0.391304348,2665.1,0.454545455,-719476804,24.59564736,15.56109917,14.45200571,10.7876894,7.334511358,6.279827199,4.516848776,3.452674533,20.18965006,11.80782111,9.277151676,6.191256393,3.864600744,2.770073705,1.704546621,1.135862523,6.046095799,6.096218907,8.095853258,2.201266864,2.424253911,2.87217811,3.177756577,0.288675135,1.113219278,0.288675135,1.390311729,0.013498731,0.083499517,0.00246452,0,0,0.07856742,0.363402303,0.651344342,0,0,0.025,0.103161865,0.174961523,0,0,4,9,1,5,4,0,0,2172.683064,2506.004699,3428.625121,3413.95031,3126.49534,53.97571434,42.86415387,67.32223891,63.23390895,44.56750968,0.770303825,-0.337273449,-0.243731651,0.222480847,-0.064752054,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.743589,70.138411
5,121286038,4.515,637.2246571,0,10,4.32,2,24,4,52,0,81,28,27,5.0096,25.09609216,174.0949,0,7,5,4,4,0,0,3,4,0,0,0,0.209251162,258,7787,79,95.54739512,2.077117285,29.8655611,16.8815542,9.774145077,6.700439718,557.5469374,133.34,1,NA,0.5,1.5,5.663407155,5.128600068,3,22.88779235,46.21131115,2.132954571,19.07167839,1.972727133,0,0.396850263,0.836771381,0.400594355,0,0,0,0.333333333,0.40824829,0,0,0,0,0,0,0,3,0,5,0,0,13,1,0,0,1,10,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4489645,14.69387755,7.409042364,0.277777778,5499.1,0.782608696,1426,32.00106027,22.19002305,21.14719669,18.00690936,15.20112207,12.82782075,9.767037581,7.734126476,26.36842988,15.91020901,13.72519948,9.303209082,6.860989243,4.940973684,3.229563394,2.141333386,8.731677344,13.28335987,19.23180505,4.200553515,5.832063377,7.403096948,3.991877878,0.288675135,1.205766847,0.166666667,3.078686597,0.433554985,0.479159476,0.079155948,0,0,0.292643595,0.850401543,1.352795729,0,0,0.104569112,0.299548943,0.432437818,0,0,1,19,6,6,2,1,0,3830.858796,4657.427931,6906.851896,7174.098185,7176.237717,57.85450816,61.99346734,92.54514933,92.39663428,90.06799448,0.90685177,-0.523296661,0.081750636,0.016048278,0.040308372,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.306245,97.709755
6,121285970,7.398,366.069054,1,3,3.33,0,15,0,28,0,41,22,21,7.1542,51.18257764,100.7632,0,4,4,3,3,0,0,1,3,0,0,0,0.047258843,136,1437,39,51.76060288,2.070424115,11.85250765,0,6.771199966,5.807354922,304.79737,17.3,0.833333333,NA,0.454545455,0,2.088684539,1.514915866,0,14.97883585,27.00967804,0,7.776211837,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.36734694,7.935,4.135279459,0.095238095,1336.04,0.88,466,17.38854058,12.09735679,11.2990272,9.301600998,7.910832848,6.833957857,4.862727714,3.569218525,15.22017377,8.835719428,7.028216852,4.725646779,3.392675948,2.458519576,1.492614556,0.925075977,3.727572827,6.00462513,8.844185025,1.608070163,2.167571198,2.680441175,1.811731173,0,0.247193875,0,1.003058994,0,0.075800009,0,0,0,0.07856742,0.446735636,0.810802313,0,0,0.025,0.136117313,0.228424997,0,0,2,14,3,1,1,0,0,1980.321742,2355.865092,3369.05516,3335.00182,3045.98989,41.14586042,32.73445094,49.33033639,48.62706897,44.13653802,0.183705438,-0.098083902,-0.007257598,0.030550462,-0.026154778,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.631312,54.188688
7,121285934,7.128,376.1342411,1,4,3.55,0,15,2,30,0,48,22,21,6.9596,48.43603216,107.4628,0,4,4,3,3,0,0,1,3,0,0,0,0.070533329,146,1795,44,55.63032027,2.060382232,12.10651785,2.781741068,6.772315762,5.906890596,332.9684982,26.53,0.857142857,NA,0.461538462,0.346324702,5.604599921,5.096713542,0,12.4335469,27.66671383,0,9.622739011,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,1,0,0,10,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.28,8.788534343,4.451843044,0.173913043,1899.04,0.814814815,578,18.96589085,13.04604519,11.98591393,10.25893122,8.393046218,7.361259528,5.272870375,3.866631696,16.41717837,9.297811821,7.254275649,5.137608753,3.513593454,2.617911804,1.580830305,0.993444844,4.411065099,6.716912567,9.954922902,1.888431799,2.368911926,2.98502515,1.925424965,0,0.365045005,0,1.010666648,0,0.134725574,0,0,0,0.07856742,0.431443685,0.832809842,0,0,0.025,0.132395796,0.228173637,0,0,2,13,4,2,1,0,0,2075.241342,2475.528908,3576.693964,3635.605951,3299.550438,36.20737955,33.44686426,49.09097907,50.38771165,44.8971807,0.309841372,-0.176567745,-0.004338375,0.043938443,-0.01735274,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.593347,59.664653
8,121285582,3.819,330.1092312,0,2,2.56,0,17,3,27,1,37,17,17,3.7598,14.13609604,86.9979,0,4,3,2,3,0,0,1,2,1,0,0,0.129472296,134,1379,42,49.73437256,2.072265523,19.94587296,0,12.80171416,5.754887502,261.5604103,42.74,1,NA,0.5,0,0,0,0,11.9543201,20.31401931,2.040710639,4.551341145,1.268474029,0,0,0,0,0,0,0,1.190550789,1.650963624,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41563786,6.9575,3.618369527,0.176470588,1048.07,0.833333333,505,16.73384004,11.52098795,11.26053706,9.162682968,7.733931753,6.041745239,4.734442164,3.705775351,12.50854992,7.434648968,5.659307339,4.094703931,2.869846209,1.960314267,1.256023538,0.78988151,4.58793066,6.781768037,8.419981852,1.394228903,1.777602128,1.99087935,2.449195165,0.288675135,0.707984354,0.144337567,0.692039207,0.013498731,0.124690549,0.004499577,0,0,0.11785113,0.30274943,0.410893452,0,0,0.025819889,0.083001402,0.099740492,0,0,1,9,4,3,0,0,0,1566.251975,1883.177615,2710.860254,2908.03984,2350.582966,29.94605362,30.2962256,48.27328738,47.67869224,41.54012674,0.403105878,-0.218506647,0.024605733,-0.041939793,0.049829678,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.460691,44.659309
9,121285260,6.867,406.0680755,1,4,3.44,0,15,2,29,0,45,22,21,6.5574,42.99949476,105.2396,0,4,4,3,3,0,0,1,3,0,0,0,0.065333873,140,1579,42,53.78656482,2.068714032,12.12916241,2.80229166,6.774257981,5.857980995,319.7450648,26.53,0.833333333,NA,0.454545455,0.090909091,4.045853946,3.020606681,0,14.80786081,26.70672523,0,8.304547237,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,1,0,0,11,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.32223543,8.566329566,4.224489796,0.136363636,1654.04,0.846153846,485,18.09564736,12.65219834,11.37408881,9.81689295,8.233931341,7.13031863,5.026252573,3.788173224,16.32459624,9.302162015,7.252947151,5.025876552,3.545254522,2.651080492,1.585106722,1.024965053,3.946740681,6.343850016,9.242663538,1.739502911,2.305877722,2.927945353,1.652265226,0,0.330527208,0,0.995557863,0,0.09985627,0,0,0,0.07856742,0.446735636,0.786394545,0,0,0.025,0.136117313,0.226128399,0,0,2,14,3,1,1,0,0,2063.36986,2456.61851,3527.39246,3587.20154,3296.548938,70.75252043,36.14776908,54.49278871,56.73663679,51.29899034,0.296338216,-0.171451612,0.016638643,0.003075069,-0.02692602,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.276933,57.441067
10,121285254,7.944,338.1549766,1,3,3.44,0,15,0,27,0,47,16,15,3.7705,14.21667025,90.9884,0,4,3,3,2,0,0,1,3,0,0,0,0.051159975,130,1284,37,49.90288849,2.07928702,9.323052018,0,6.77071599,5.754887502,308.3956783,17.3,0.833333333,NA,0.454545455,0,2.168304242,1.452147202,0,17.93941389,25.32363891,0,6.553105012,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,6,0,0,7,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41563786,7.709141274,3.907727797,0.380952381,1948.03,0.916666667,445,16.51829709,11.70350994,10.66526001,8.981347748,7.559872768,6.69212407,4.599461765,3.47191652,14.88976345,9.318596994,7.493243862,5.436720813,4.030343376,3.144915242,1.757170311,1.176125841,3.383268453,5.441632472,8.213421165,1.615429871,2.220286875,2.881802663,1.523056038,0,0.247193875,0,0.900349772,0,0.075800009,0,0,0,0.07856742,0.465464376,0.740712199,0,0,0.025,0.210401608,0.250822259,0,0,2,9,2,1,6,1,0,1876.548389,2230.613471,3180.181581,3142.921525,2861.200733,32.43291051,29.78268031,43.42679511,42.7235277,38.23299674,0.154959234,-0.089193237,0.001382773,0.020658298,-0.025796033,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.863761,56.676239
